1 TK_PR_INT [int]
1 TK_IDENTIFICADOR [x]
1 TK_ESPECIAL [=]
1 TK_LIT_INT [5]
1 TK_ESPECIAL [;]
2 TK_PR_FLOAT [float]
2 TK_IDENTIFICADOR [y]
2 TK_ESPECIAL [=]
2 TK_LIT_FLOAT [5.5e10]
2 TK_ESPECIAL [;]
2 Begin comment
2 End comment
4 TK_PR_CHAR [char]
4 TK_IDENTIFICADOR [teste]
4 TK_ESPECIAL [=]
4 TK_LIT_CHAR ['o']
4 TK_ESPECIAL [;]
5 TK_PR_STRING [string]
5 TK_IDENTIFICADOR [teste1]
5 TK_ESPECIAL [=]
5 TK_LIT_STRING ["eita"]
5 TK_ESPECIAL [;]
11 Begin comment
16 End comment
18 TK_PR_STRING [string]
18 TK_IDENTIFICADOR [valor]
18 TK_ESPECIAL [=]
18 TK_LIT_STRING ["int x  = 3"]
18 TK_ESPECIAL [;]
19 TK_PR_STRING [string]
19 TK_IDENTIFICADOR [valor2]
19 TK_ESPECIAL [=]
19 TK_LIT_STRING ["oi // Comentario dentro da string"]
19 TK_ESPECIAL [;]
20 TK_PR_STRING [string]
20 TK_IDENTIFICADOR [valor3]
20 TK_ESPECIAL [=]
20 TK_LIT_STRING ["opa /* Outro comentario dentro da string */"]
20 TK_ESPECIAL [;]
21 TK_PR_STRING [string]
21 TK_IDENTIFICADOR [valor4]
21 TK_ESPECIAL [=]
21 TK_LIT_STRING ["Essa string deve estar na linha 21"]
21 TK_ESPECIAL [;]
23 Begin comment
25 End comment
29 Begin comment
29 Begin comment
29 Begin comment
29 End comment
31 TK_PR_FLOAT [float]
31 TK_IDENTIFICADOR [z]
31 TK_ESPECIAL [=]
31 TK_LIT_FLOAT [73.36473027]
31 TK_ESPECIAL [;]
